id,original_title,title,original_language,overview,tagline,release_date,poster_path,vote_count,vote_average,budget,revenue,runtime,backdrop_path,genre_names,collection,collection_name,profit,release_year,release_month,release_day,other_genres
9731,Friday the 13th: A New Beginning,Friday the 13th: A New Beginning,en,"Homicidal maniac Jason returns from the grave to cause more bloody mayhem. Young Tommy may have escaped from Crystal Lake, but he’s still haunted by the gruesome events that happened there. When gory murders start happening at the secluded halfway house for troubled teens where he now lives, it seems like his nightmarish nemesis, Jason, is back for more sadistic slaughters.",A New Beginning to the first step in terror.,1985-03-22,/sRA9Tb4aQz8EZlbX7xmh8WbzisW.jpg,876,5.3,2200000,21930418,92,/iWQPZphjmQV8sbatCaXfjk1rksV.jpg,"['Horror', 'Mystery']",9735.0,Friday the 13th Collection,19730418,1985,3,22,['Mystery']
10225,Friday the 13th Part VI: Jason Lives,Friday the 13th Part VI: Jason Lives,en,"Determined to finish off the infamous killer Jason Voorhees once and for all, Tommy Jarvis and a friend exhume Jason’s corpse in order to cremate him. Things go awry when Jason is instead resurrected, sparking a new chain of ruthlessly brutal murders. Now it’s up to Tommy to stop the dark, devious and demented deaths that he unwittingly brought about.",Kill or be killed!,1986-08-01,/3qyCfzwY418lbuFEaKX5rKxKlnJ.jpg,899,6.2,3000000,19472057,87,/93tvkTtV6tQQiYhxhij9tuODNOq.jpg,"['Horror', 'Mystery', 'Thriller']",9735.0,Friday the 13th Collection,16472057,1986,8,1,"['Mystery', 'Thriller']"
10281,Friday the 13th Part VII: The New Blood,Friday the 13th Part VII: The New Blood,en,"A young girl who possesses the power of telekinesis accidentally causes her father's death after a family dispute at Crystal Lake. Years later, when a doctor tries to exploit her abilities, her power becomes a hellish curse, and she unwittingly unchains the merciless, bloodthirsty Jason Voorhees from his watery grave.","Jason is back, but this time someone's waiting!",1988-05-13,/xBjEL0k9Cz3QFjnpEK6c8b9Z51o.jpg,788,5.4,2800000,19170001,88,/3KO6cs5qighEoA98CFo1u26hqh7.jpg,"['Horror', 'Thriller']",9735.0,Friday the 13th Collection,16370001,1988,5,13,['Thriller']
10283,Friday the 13th Part VIII: Jason Takes Manhattan,Friday the 13th Part VIII: Jason Takes Manhattan,en,A group of students on a graduation cruise bound for Manhattan soon realize they've got a stowaway aboard the ship: serial killer Jason Voorhees.,The Big Apple's in BIG trouble!,1989-07-28,/o8zLlANBDaPiW3SnDdKLIUd4jQQ.jpg,793,5.0,5000000,14000000,100,/bzpKFAp7Z9mIE4XPtsr6QsmG75O.jpg,"['Horror', 'Thriller']",9735.0,Friday the 13th Collection,9000000,1989,7,28,['Thriller']
10285,Jason Goes to Hell: The Final Friday,Jason Goes to Hell: The Final Friday,en,"Jason Voorhees, the living, breathing essence of evil, is back for one fierce, final fling! Tracked down and blown to bits by a special FBI task force, everyone now assumes that he's finally dead. But everybody assumes wrong. Jason has been reborn with the bone-chilling ability to assume the identity of anyone he touches. The terrifying truth is that he could be anywhere, or anybody. In this shocking, blood-soaked finale to Jason's carnage-ridden reign of terror, the horrible secret of his unstoppable killing instinct is finally revealed. And once you know the chilling facts, you'll see him in your nightmares! And he'll see you in hell!",,1993-08-13,/uZNsMWE5o1PaBEUjfRYaeZga08q.jpg,743,4.5,3000000,15938065,87,/sKH6rMU0hfGiZHyTjEy3s6QEX6F.jpg,['Horror'],9735.0,Friday the 13th Collection,12938065,1993,8,13,
11470,Jason X,Jason X,en,"In the year 2455, Old Earth is now a contaminated planet abandoned for centuries -- a brown world of violent storms, toxic landmasses and poisonous seas. Yet humans have returned to the deadly place that they once fled, not to live, but to research the ancient, rusting artifacts of the long-gone civilizations. But it's not the harmful environment that could prove fatal to the intrepid, young explorers who have just landed on Old Earth. For them, it's Friday the 13th, and Jason lives!",Evil has an upgrade.,2001-07-24,/jrObEGWVW1XlutjYXqyyGxtTeov.jpg,1069,4.8,11000000,16951798,91,/e1zfnkOBvGBeydFWCXFuTp9o8KW.jpg,"['Horror', 'Science Fiction']",9735.0,Friday the 13th Collection,5951798,2001,7,24,['Science Fiction']
6466,Freddy vs. Jason,Freddy vs. Jason,en,"In an attempt to free himself from a state of forgotten limbo, evil dream-demon Freddy Krueger devises a plan to manipulate un-dead mass murderer Jason Voorhees  into slicing-and-dicing his way through the teenage population of Springwood.  But when the master of dreams loses control of his monster, a brutal fight to the death is the only way out.",Evil will battle evil.,2003-08-15,/vu7JlJMfh0qnBSbaK4c0HmPI4Gq.jpg,2084,6.0,30000000,116643421,97,/354jbHJ51IKlLqQfnZtrZEkWxdY.jpg,['Horror'],9735.0,Friday the 13th Collection,86643421,2003,8,15,
755,From Dusk Till Dawn,From Dusk Till Dawn,en,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",One night is all that stands between them and freedom. But it's going to be a hell of a night.,1996-01-19,/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg,4977,7.0,19000000,25836616,108,/phiRQhfwZZeMMn3osvQUmGYmJbp.jpg,"['Action', 'Crime', 'Horror', 'Thriller']",10924.0,From Dusk Till Dawn Collection,6836616,1996,1,19,"['Action', 'Crime', 'Thriller']"
10213,From Dusk Till Dawn 3: The Hangman's Daughter,From Dusk Till Dawn 3: The Hangman's Daughter,en,"Narrowly escaping death, outlaw Johnny Madrid is on the run from the hangman, with the hangman's sensuous daughter Esmeralda by his side. Along with Madrid's gang, Johnny and Esmeralda embark on an adventure filled with colorful and unsavory characters who lead them straight into the fight of their lives!",,1999-10-30,/io5lQ7VRJGBCg2kTJ6BRWRclqJE.jpg,259,4.9,5000000,9617000,94,/cBEExzJYKJ4tjsThH6bUXnwpYhe.jpg,"['Horror', 'Thriller', 'Western']",10924.0,From Dusk Till Dawn Collection,4617000,1999,10,30,"['Thriller', 'Western']"
54433,ガメラ 大怪獣空中決戦,Gamera: Guardian of the Universe,ja,"A ship runs aground on a mysterious atoll leading to an investigation by insurance representative Kusanagi, who discovers an ancient bead that he gives to his daughter Asagi. Meanwhile, ornithologist Nagamine investigates reports of a new species of large bird named Gyaos. As the Gyaos begin to attack, an ancient guardian with a bond to Asagi emerges.",A great duel of supersonic speed.,1995-03-11,/iZ8yFxavjqsZXfZhkfPqrc4NauY.jpg,108,7.7,4500000,16000000,96,/9PhGgvqOLV4ekQIMoeaPgXQ2fsk.jpg,"['Adventure', 'Fantasy', 'Horror', 'Science Fiction']",657313.0,Gamera (Heisei) Collection,11500000,1995,3,11,"['Adventure', 'Fantasy', 'Science Fiction']"
60159,ガメラ3 邪神＜イリス＞覚醒,Gamera 3: Revenge of Iris,ja,"With the Gyaos re-emerging, Gamera's ties to humanity have been severed with his bond to Asagi broken. Nagamine and Asagi investigate while an orphaned girl named Ayana discovers a new creature she names Iris. Nagamine and Asagi must reach Ayana before she takes her revenge on Gamera, who she blames for the death of her family.",I will not forgive Gamera,1999-03-06,/lbuXsx8SCGPHpbdKQyMevXUYlZD.jpg,96,7.6,6000000,15000000,108,/7Ul9qKUBpRww25lHdcP1Y9qJ7CF.jpg,"['Fantasy', 'Horror', 'Science Fiction']",657313.0,Gamera (Heisei) Collection,9000000,1999,3,6,"['Fantasy', 'Science Fiction']"
18289,ゴジラvsビオランテ,Godzilla vs. Biollante,ja,"After the previous Godzilla attack, a miniature arms race ensues to collect his cells. Concerned over Godzilla's possible return, the Japanese government uses the cells to create a new bio-weapon, ANEB (Anti-Nuclear Energy Bacteria). They seeks the aid of geneticist Genshiro Shiragami, who's experiments result in a new mutation.",The winner of this battle would be the most enormous enemy against human beings.,1989-12-16,/tHchmbNaJNxp9vRGExvYg3dwMab.jpg,156,7.2,5000000,7000000,105,/qpqKeG0TujGRHvk6bnvmoGGvVMN.jpg,"['Action', 'Horror', 'Science Fiction']",374511.0,Godzilla (Heisei) Collection,2000000,1989,12,16,"['Action', 'Science Fiction']"
12561,ゴジラvsデストロイア,Godzilla vs. Destoroyah,ja,"A burning Godzilla, on the verge of meltdown, emerges to lay siege to Hong Kong. At the same time horrifying new organisms are discovered in Japan. These crustacean-like beings are seemingly born of the Oxygen Destroyer, the weapon that killed the original Godzilla.",,1995-12-09,/t28laxbteoyubkGPQZJFmrEEdGl.jpg,182,7.8,10000000,18000000,103,/mTL72rHXjdwQYsfnuJC1Szbcckg.jpg,"['Action', 'Horror', 'Science Fiction']",374511.0,Godzilla (Heisei) Collection,8000000,1995,12,9,"['Action', 'Science Fiction']"
1678,ゴジラ,Godzilla,ja,"Japan is thrown into a panic after several ships are sunk near Odo Island. An expedition to the island led by Dr. Yemani soon discover something far more devastating than imagined in the form of a 50 meter tall monster whom the natives call Gojira. Now the monster begins a rampage that threatens to destroy not only Japan, but the rest of the world as well.","Godzilla, a weapon of science, a great battle of wonder and terror!",1954-11-03,/ixfHV61iRM4Jkgw0uI5ICtNwfmX.jpg,694,7.6,900000,2250000,96,/tWeQvXUaFoS0IP5anj7pdRsP6xF.jpg,"['Horror', 'Science Fiction', 'Thriller']",374509.0,Godzilla (Showa) Collection,1350000,1954,11,3,"['Science Fiction', 'Thriller']"
1679,ゴジラの逆襲,Godzilla Raids Again,ja,"Two fishing scout pilots make a horrifying discovery when they encounter a second Godzilla alongside a new monster named Anguirus. Without the weapon that killed the original, authorities attempt to lure Godzilla away from the mainland. But Anguirus soon arrives and the two monsters make their way towards Osaka as Japan braces for tragedy.",The great story of the terrifying spirits that rampage through Japan!,1955-04-24,/bBYdh9tDCyLaArBOzE38QCA7C3y.jpg,183,6.0,800000,1952653,82,/xbKFQCZNK14gp9k6cFCwgp2OCtU.jpg,"['Action', 'Adventure', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",374509.0,Godzilla (Showa) Collection,1152653,1955,4,24,"['Action', 'Adventure', 'Drama', 'Science Fiction', 'Thriller']"
257445,Goosebumps,Goosebumps,en,"After moving to a small town, Zach Cooper finds a silver lining when he meets next door neighbor Hannah, the daughter of bestselling Goosebumps series author R.L. Stine. When Zach unintentionally unleashes real monsters from their manuscripts and they begin to terrorize the town, it’s suddenly up to Stine, Zach and Hannah to get all of them back in the books where they belong.",The stories are alive.,2015-08-05,/aeZT9pqEgrmXOGdESFkAuVjX6kw.jpg,3302,6.3,58000000,158162788,103,/6mPe4rBHzDMal2oL6hVgOBkaHz9.jpg,"['Adventure', 'Comedy', 'Horror']",508783.0,Goosebumps Collection,100162788,2015,8,5,"['Adventure', 'Comedy']"
442062,Goosebumps 2: Haunted Halloween,Goosebumps 2: Haunted Halloween,en,"Two boys face an onslaught from witches, monsters, ghouls and a talking dummy after they discover a mysterious book by author R. L. Stine.",Halloween comes to life.,2018-10-11,/t2wy38iiMpB8WsgJi3lYeDnGh2H.jpg,1234,6.1,35000000,93320380,90,/h5BvesqaxL7V3vl1CmaR8waGyiM.jpg,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Horror']",508783.0,Goosebumps Collection,58320380,2018,10,11,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
2082,Halloween,Halloween,en,"After being committed for 17 years, Michael Myers, now a grown man and still very dangerous, escapes from the mental institution (where he was committed as a 10 year old) and he immediately returns to Haddonfield, where he wants to find his baby sister, Laurie. Anyone who crosses his path is in mortal danger",Evil has a destiny.,2007-08-31,/6gqqvlqQnHzOPhi1UvT6OPdunwB.jpg,1873,6.2,15000000,80460948,109,/fWhAWcHdIKg08vjQsh9Nx3s8Hrm.jpg,['Horror'],126209.0,Halloween (Rob Zombie Series) Collection,65460948,2007,8,31,
24150,Halloween II,Halloween II,en,"Laurie Strode struggles to come to terms with her brother Michael's deadly return to Haddonfield, Illinois. Meanwhile, Michael prepares for another reunion with his sister.",Family Is Forever,2009-08-28,/vSHPM4LQDpWdQrD5KZWK6wNqSOD.jpg,1120,5.4,10000000,39421467,105,/4UiNo0vUAKLgO9xq1JKYsGQ9avo.jpg,['Horror'],126209.0,Halloween (Rob Zombie Series) Collection,29421467,2009,8,28,
948,Halloween,Halloween,en,"Fifteen years after murdering his sister on Halloween Night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",The Night He Came Home!,1978-10-24,/qVpCaBcnjRzGL3nOPHi6Suy0sB6.jpg,4421,7.6,325000,70274000,91,/aRka9neADW1M0Zf9lF8kW2jEgXe.jpg,"['Horror', 'Thriller']",91361.0,Halloween Collection,69949000,1978,10,24,['Thriller']
11281,Halloween II,Halloween II,en,"After failing to kill stubborn survivor Laurie and taking a bullet or six from former psychiatrist Dr. Sam Loomis, Michael Myers has followed Laurie to the Haddonfield Memorial Hospital, where she's been admitted for Myers' attempt on her life. The institution proves to be particularly suited to serial killers, however, as Myers cuts, stabs and slashes his way through hospital staff to reach his favorite victim.",The nightmare isn't over!,1981-10-30,/xyBX7rFmNB4nM2RBW3042RQPFG2.jpg,1591,6.5,2500000,25533818,92,/fDhUxDHgjXzLZEzHNgIS75SzaCA.jpg,"['Horror', 'Thriller']",91361.0,Halloween Collection,23033818,1981,10,30,['Thriller']
10676,Halloween III: Season of the Witch,Halloween III: Season of the Witch,en,"Dr. Daniel Challis and Ellie Grimbridge stumble onto a gruesome murder scheme when Ellie's novelty-salesman father, Harry, is killed while in possession of a halloween mask made by the Silver Shamrock mask company. The company's owner, Conal Cochran, wants to return Halloween to its darker roots using his masks -- and his unspeakable scheme would unleash death and destruction across the country.",The night no one comes home.,1982-10-22,/4qDtn4RNIEY4OgitIxi3P1CtthO.jpg,1054,5.1,2500000,14400000,98,/eyOKqtgNeEEIp7zYMHnpISpsaS3.jpg,"['Horror', 'Science Fiction', 'Thriller']",91361.0,Halloween Collection,11900000,1982,10,22,"['Science Fiction', 'Thriller']"
11357,Halloween 4: The Return of Michael Myers,Halloween 4: The Return of Michael Myers,en,"The apparently comatose Michael Myers is being transferred from one hospital to another, but he wakes up when the ambulance crew talk about his surviving niece, Jamie. After slaughtering his attendants, Myers sets out to find his one living relative who is, fortunately, being cared for by a kind and resourceful foster sister named Rachel. Meanwhile, the ever-cautious Dr. Loomis remains on the killer's path.",Horror has returned to Haddonfield.,1988-10-21,/iKbxhQa4T6zVY17RMa6AeiGEiSq.jpg,1311,6.1,5000000,17800000,88,/g6ftE3Uw1nzzuTPnbHAw4monFUl.jpg,"['Horror', 'Thriller']",91361.0,Halloween Collection,12800000,1988,10,21,['Thriller']
