id,original_title,title,original_language,overview,tagline,release_date,poster_path,vote_count,vote_average,budget,revenue,runtime,backdrop_path,genre_names,collection,collection_name,profit,release_year,release_month,release_day,other_genres
146203,The Last Exorcism Part II,The Last Exorcism Part II,en,"As Nell Sweetzer tries to build a new life after the events of the first movie, the evil force that once possessed her returns with an even more horrific plan.",The second coming,2013-02-28,/260ztSWhGIYSLAjDC6smFWcdUSp.jpg,450,4.7,5000000,15179302,88,/tNVri3EgpXQ0wXmGJqIvTvd6kGj.jpg,"['Horror', 'Thriller']",177675.0,The Last Exorcism Collection,10179302,2013,2,28,['Thriller']
18405,The Last House on the Left,The Last House on the Left,en,"A group of teenage girls heading into the city hook up with a gang of drug-addled ne'er-do-wells and are brutally murdered. The killers find their way to the home of one of their victim's parents, where both father and mother exact a horrible revenge.","If someone hurt someone you love, how far would you go to get revenge?",2009-03-13,/2Y35XCUS8U8vC8vs0HDEVkPu1BM.jpg,1421,6.4,15000000,32721635,110,/114yPZmKgsQVTSt0BDx5WagBOvW.jpg,"['Crime', 'Drama', 'Horror', 'Thriller']",629830.0,The Last House on the Left Collection,17721635,2009,3,13,"['Crime', 'Drama', 'Thriller']"
10163,The Lawnmower Man,The Lawnmower Man,en,A simple man is turned into a genius through the application of computer science.,God made him simple. Science made him a god.,1992-03-05,/1VLqWcel87oYVmN383FgSH0mCTY.jpg,578,5.6,10000000,32100816,108,/rbPZNYkHOuRTSedWrq1rONVeZvp.jpg,"['Horror', 'Science Fiction']",124935.0,The Lawnmower Man Collection,22100816,1992,3,5,['Science Fiction']
11525,Lawnmower Man 2: Beyond Cyberspace,Lawnmower Man 2: Beyond Cyberspace,en,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.","God made him simple. Science made him a god. Now, he wants revenge.",1996-01-12,/nsKDpcdC62krEPlCKKjLSHuMwwu.jpg,108,2.9,15000000,2409225,92,/rCZfdhDuJJTwdUMpuaRiCm9jS0k.jpg,"['Action', 'Horror', 'Science Fiction', 'Thriller']",124935.0,The Lawnmower Man Collection,-12590775,1996,1,12,"['Action', 'Science Fiction', 'Thriller']"
345940,The Meg,The Meg,en,"A deep sea submersible pilot revisits his past fears in the Mariana Trench, and accidentally unleashes the seventy foot ancestor of the Great White Shark believed to be extinct.",Chomp On This,2018-08-09,/xqECHNvzbDL5I3iiOVUkVPJMSbc.jpg,6068,6.2,150000000,530243742,113,/ibKeXahq4JD63z6uWQphqoJLvNw.jpg,"['Action', 'Horror', 'Science Fiction']",742536.0,The Meg Collection,380243742,2018,8,9,"['Action', 'Science Fiction']"
9966,The Messengers,The Messengers,en,"When the Solomons trade in the craziness of big-city life for the quiet of a North Dakota farm, little do they expect the nightmare that follows. Soon after arriving, teenage Jess (Kristen Stewart) and her younger brother see terrifying apparitions and endure attacks from a supernatural source. Jess must warn her disbelieving family before it is too late to save them.",There is evidence to suggest that children are highly susceptible to paranormal phenomena. They see what adults cannot. They believe what adults deny. And they are trying to warn us.,2007-02-02,/kLmurNcnkmdPahLc6HKQjX3EHed.jpg,677,5.7,16000000,55060212,90,/7S6lCJ9ztPUY63mztz0g6toufsj.jpg,"['Horror', 'Mystery', 'Thriller']",164395.0,The Messengers Collection,39060212,2007,2,2,"['Mystery', 'Thriller']"
439079,The Nun,The Nun,en,"When a young nun at a cloistered abbey in Romania takes her own life, a priest with a haunted past and a novitiate on the threshold of her final vows are sent by the Vatican to investigate. Together they uncover the order’s unholy secret. Risking not only their lives but their faith and their very souls, they confront a malevolent force in the form of the same demonic nun that first terrorized audiences in “The Conjuring 2” as the abbey becomes a horrific battleground between the living and the damned.",Pray For Forgiveness,2018-09-05,/sFC1ElvoKGdHJIWRpNB3xWJ9lJA.jpg,5393,5.8,22000000,365550119,96,/fgsHxz21B27hOOqQBiw9L6yWcM7.jpg,"['Horror', 'Mystery', 'Thriller']",968052.0,The Nun Collection,343550119,2018,9,5,"['Mystery', 'Thriller']"
794,The Omen,The Omen,en,"Immediately after their miscarriage, the US diplomat Robert Thorn adopts the newborn Damien without the knowledge of his wife. Yet what he doesn’t know is that their new son is the son of the devil.",It is the greatest mystery of all because no human being will ever solve it.,1976-06-25,/p0LcWxOIoBx0MEZMn8tFcrvDXR1.jpg,1590,7.4,2800000,60922980,111,/5sfbPsenSrbH8pzVMjEd0LUu50Y.jpg,"['Horror', 'Thriller']",10919.0,The Omen Collection,58122980,1976,6,25,['Thriller']
10766,Damien: Omen II,Damien: Omen II,en,"Since the sudden and highly suspicious death of his parents, 12-year-old Damien has been in the charge of his wealthy aunt and uncle. Widely feared to be the Antichrist, Damien relentlessly plots to seize control of his uncle's business empire—and the world. Anyone attempting to unravel the secrets of Damien's sinister past or fiendish future meets with a swift and cruel demise.",The first time was only a warning.,1978-06-09,/ocsi8SlODWkVX6O4E8Ncfgnretw.jpg,531,6.4,6800000,26518355,107,/siAdro2ApPmxEM9SZccvmMUYehc.jpg,['Horror'],10919.0,The Omen Collection,19718355,1978,6,9,
11980,The Prophecy,The Prophecy,en,"The angel Gabriel comes to Earth to collect a soul which will end the stalemated war in Heaven, and only a former priest and a little girl can stop him.","On ancient ground, at the edge of the world, an evil born in heaven is about to be unleashed on earth.",1995-09-01,/4ZWFhQipzBHJze2llzCzhrSIZsn.jpg,396,6.5,8000000,16115878,98,/ed7c1oWavgcgZmWKbPr2oKg4JAD.jpg,"['Fantasy', 'Horror', 'Thriller']",9068.0,The Prophecy Collection,8115878,1995,9,1,"['Fantasy', 'Thriller']"
