,id,original_title,title,original_language,overview,tagline,release_date,poster_path,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name,profit
2811,56812,Balada triste de trompeta,The Last Circus,es,"The journey of Javier, the obese Sad Clown, starts during his childhood in the midst of the Spanish civil war in 1937. His father, one of Spain’s most prominent jesters, is detained and tortured by the fascist regime.",It's showtime,2010-12-17,/rbpp2G4cpGG8jqCqhEBwvjQ0Y6C.jpg,336,6.6,7000000,3604598,101,Released,False,/dbspMNCXsezL0V1a5NX4WD9AadY.jpg,"Adventure, Comedy, Drama, Horror, Thriller",,,-3395402
2968,577028,Девятая,The Ninth,ru,"Petersburg at the end of the 19th century was embraced by a massive enthusiasm for the occult sciences and esotericism. British medium Olivia Reed arrives in the capital of the Russian Empire on tour and gathers crowds of people at her public spiritualistic sessions. At this time, a series of ritual mysterious murders takes place in the city. Girls are abducted on the streets, their mutilated bodies are found in various parts of the city. The investigation is carried out by a young police officer Rostov and his assistant Ganin. With each new victim, things are becoming more confused. Suspicion leads Rostov to Olivia, and he decides to turn to her in the hope that her genuine or imaginary ability to summon the spirits of the dead can help to get on the trail of the killer.",,2019-11-07,/o2Q9kkzkI5LGqP9K7ymmOc9CNRE.jpg,93,6.7,7000000,958558,99,Released,False,/odb22pd53XAdk1FvDNKFl0NqKF9.jpg,"Crime, Horror, Mystery, Thriller",,,-6041442
3024,184219,พี่มาก..พระโขนง,Pee Mak,th,"Mak's friends just want to protect him, but his wife Nak won't let a small thing like her own death get in the way of true love in this horror-comedy.",The legendary love story of pee mak and his ghost wife nak.,2013-03-28,/jIhCR7kuoy6WTENPZCNsDJfgLtX.jpg,99,7.2,1800000,33000000,111,Released,False,/6pzAKK6nYk7XTIzrKLQHob3BEjT.jpg,"Comedy, Horror, Romance",,,31200000
3393,300906,Atroz,Atrocious,es,"Atrocious is a film that portrays the story of two serial killers, who after being arrested for causing a traffic accident, police confiscate some videotapes. These tapes contain brutal murders that show human wickedness, their background, paraphilias and psyche of these murderers.",,2015-10-28,/6Izf4JuMgP5xi0EbB4gCLWDcHIH.jpg,53,5.9,7000,74,79,Released,False,/wtenyFz8VcTkY6gjr3hWtxLBCAU.jpg,Horror,,,-6926
3410,15483,Il cartaio,The Card Player,it,"Policewoman Anna Mari is forced to play a dangerous game with the title serial killer. If she loses, she witnesses the maniac's tortured victims having their throats cut in explicit close-up detail via webcam. She teams up with British cop John Brennan to find out the identity of the murderer.",A serial killer with a vice for Video Poker,2004-01-02,/t6R8gwVL6NU2bUtcIc3JJOpeUlO.jpg,184,4.4,2600000,3368452,103,Released,False,/QfgzgVa6bfZgY3mEeiobRduVkh.jpg,"Horror, Mystery, Thriller",,,768452
3646,52413,여고괴담 5: 동반자살,A Blood Pledge,ko,"Four friends pledge to commit suicide together but while standing on the ledge, only one of them actually jumps. Her ghost begins to haunt the remaining friends until the pledge is fulfilled.",,2009-06-18,/5QiG9avZTuvuALNtXalG2dg135U.jpg,42,5.4,125000,3470000,88,Released,False,/piB62xW87t25dPVIkfJDx0Bswj4.jpg,"Drama, Horror, Mystery",131780.0,Whispering Corridors Collection,3345000
3686,8332,Antikörper,Antibodies,de,"When a notorious German serial killer is captured after committing some of the most heinous acts against humanity ever imaginable, a farmer and police officer from a sleepy rural community on the outskirts of Berlin is drawn into the case as he searches for the answers to a murder that has shaken his tight-knit community.",The Good is the Evil in It,2005-04-24,/wIQP8C3yz8E4J1La9ehIy4Yta6e.jpg,129,6.8,1900000,891133,127,Released,False,/b3AqXvTXnLWdEUVeIPEUT0BQAvt.jpg,"Crime, Drama, Horror, Thriller",,,-1008867
3826,25744,口裂け女,A Slit-Mouthed Woman,ja,"Legend holds that 30 years ago, a suburban town was terrorized by the spirit of a woman whose horrid face had been grotesquely disfigured. Roaming the streets wearing a long coat and carrying large scissors, the spirit would approach her young victims and, while removing the mask, ask if she was pretty. The victim’s response would almost always lead to their violent death.",,2007-03-16,/mUwHLq5SFq0rQF9DhvoOEKt8AIi.jpg,90,6.0,34600000,45900000,90,Released,False,/vW5lqE7zCtOMwtwbkoRu0CwrTx.jpg,Horror,955786.0,Carved Collection,11300000
4149,24821,Skjult,Hidden,no,Painful memories arise when Kai Koss inherits his dead mother's house and goes back to his childhood home after 19 years.,,2009-03-04,/mKiQ6HihQwG9lmGokwrAANuV14j.jpg,56,5.7,2215773,1489526,95,Released,False,/9LM4UlmGTv85mOHBx8TMhpLXJMf.jpg,"Horror, Thriller",,,-726247
4455,292106,Dixie y la rebelión zombi,"Mummy, I'm a Zombie",es,"In the sequel to ""Daddy, I'm a Zombie"", all of our favorite characters are back! The fate of the planet is once again in Dixie's hands as she must fight to end the battle that has erupted between the living and the walking dead while balancing her newfound popularity at school and a campaign for student council.",War between humans and zombies just began!,2014-10-06,/zdaU2jx0IS4lPpQs0mDBlLMO2b8.jpg,36,7.2,64319,1000000,88,Released,False,/7wAbENoAQFoyj3uehsHKRhdRd0X.jpg,"Animation, Fantasy, Horror",297501.0,I'm A Zombie Collection,935681
